name,symbol,logo,price,market_cap,href
Filecoin,FIL,https://s2.coinmarketcap.com/static/img/coins/64x64/2280.png,$5.25 ,"$1,225,862,692 ",https://coinmarketcap.com/currencies/filecoin/
TrueUSD,TUSD,https://s2.coinmarketcap.com/static/img/coins/64x64/2563.png,$1.00 ,"$1,224,692,405 ",https://coinmarketcap.com/currencies/trueusd/
Theta Network,THETA,https://s2.coinmarketcap.com/static/img/coins/64x64/2416.png,$1.13 ,"$1,131,415,641 ",https://coinmarketcap.com/currencies/theta-network/
Elrond,EGLD,https://s2.coinmarketcap.com/static/img/coins/64x64/6892.png,$49.95 ,"$1,126,844,822 ",https://coinmarketcap.com/currencies/elrond-egld/
Axie Infinity,AXS,https://s2.coinmarketcap.com/static/img/coins/64x64/6783.png,$13.25 ,"$1,093,066,384 ",https://coinmarketcap.com/currencies/axie-infinity/
Helium,HNT,https://s2.coinmarketcap.com/static/img/coins/64x64/5665.png,$8.74 ,"$1,063,356,832 ",https://coinmarketcap.com/currencies/helium/
Quant,QNT,https://s2.coinmarketcap.com/static/img/coins/64x64/3155.png,$83.64 ,"$1,009,815,544 ",https://coinmarketcap.com/currencies/quant/
Aave,AAVE,https://s2.coinmarketcap.com/static/img/coins/64x64/7278.png,$71.62 ,"$996,712,358 ",https://coinmarketcap.com/currencies/aave/
Bitcoin SV,BSV,https://s2.coinmarketcap.com/static/img/coins/64x64/3602.png,$51.03 ,"$975,264,688 ",https://coinmarketcap.com/currencies/bitcoin-sv/
Pax Dollar,USDP,https://s2.coinmarketcap.com/static/img/coins/64x64/3330.png,$1.00 ,"$948,251,239 ",https://coinmarketcap.com/currencies/paxos-standard/
EOS,EOS,https://s2.coinmarketcap.com/static/img/coins/64x64/1765.png,$0.94 ,"$933,802,926 ",https://coinmarketcap.com/currencies/eos/
KuCoin Token,KCS,https://s2.coinmarketcap.com/static/img/coins/64x64/2087.png,$8.89 ,"$875,064,487 ",https://coinmarketcap.com/currencies/kucoin-token/
Maker,MKR,https://s2.coinmarketcap.com/static/img/coins/64x64/1518.png,$853.13 ,"$834,048,844 ",https://coinmarketcap.com/currencies/maker/
Zcash,ZEC,https://s2.coinmarketcap.com/static/img/coins/64x64/1437.png,$53.26 ,"$788,803,335 ",https://coinmarketcap.com/currencies/zcash/
BitTorrent-New,BTT,https://s2.coinmarketcap.com/static/img/coins/64x64/16086.png,$0.00 ,"$769,298,278 ",https://coinmarketcap.com/currencies/bittorrent-new/
Neutrino USD,USDN,https://s2.coinmarketcap.com/static/img/coins/64x64/5068.png,$0.99 ,"$750,936,618 ",https://coinmarketcap.com/currencies/neutrino-usd/
eCash,XEC,https://s2.coinmarketcap.com/static/img/coins/64x64/10791.png,$0.00 ,"$736,003,634 ",https://coinmarketcap.com/currencies/ecash/
IOTA,MIOTA,https://s2.coinmarketcap.com/static/img/coins/64x64/1720.png,$0.26 ,"$731,205,146 ",https://coinmarketcap.com/currencies/iota/
OKB,OKB,https://s2.coinmarketcap.com/static/img/coins/64x64/3897.png,$12.13 ,"$727,695,238 ",https://coinmarketcap.com/currencies/okb/
USDD,USDD,https://s2.coinmarketcap.com/static/img/coins/64x64/19891.png,$1.00 ,"$720,142,238 ",https://coinmarketcap.com/currencies/usdd/
Huobi Token,HT,https://s2.coinmarketcap.com/static/img/coins/64x64/2502.png,$4.42 ,"$682,478,639 ",https://coinmarketcap.com/currencies/huobi-token/
THORChain,RUNE,https://s2.coinmarketcap.com/static/img/coins/64x64/4157.png,$2.04 ,"$673,736,538 ",https://coinmarketcap.com/currencies/thorchain/
Klaytn,KLAY,https://s2.coinmarketcap.com/static/img/coins/64x64/4256.png,$0.22 ,"$643,661,424 ",https://coinmarketcap.com/currencies/klaytn/
The Graph,GRT,https://s2.coinmarketcap.com/static/img/coins/64x64/6719.png,$0.09 ,"$635,572,574 ",https://coinmarketcap.com/currencies/the-graph/
Fantom,FTM,https://s2.coinmarketcap.com/static/img/coins/64x64/3513.png,$0.24 ,"$608,074,897 ",https://coinmarketcap.com/currencies/fantom/
Chiliz,CHZ,https://s2.coinmarketcap.com/static/img/coins/64x64/4066.png,$0.10 ,"$604,368,537 ",https://coinmarketcap.com/currencies/chiliz/
